COMMSAT1.UTCGregorian      COMMSAT1.Earth.TA         COMMSAT1.Earth.Latitude   COMMSAT1.Earth.Longitude   COMMSAT1.Earth.RMAG       COMMSAT1.Earth.Altitude   COMMSAT2.Earth.TA         COMMSAT2.Earth.Latitude   COMMSAT2.Earth.Longitude   COMMSAT2.Earth.RMAG       COMMSAT3.Earth.TA         COMMSAT3.Earth.Latitude   COMMSAT3.Earth.Longitude   COMMSAT3.Earth.RMAG       
01 Jan 2000 12:14:28.000   270.7293464757553         1.878904662972445         109.1689071853369          42164.99663992678         35786.88326595195         227.5323443894626         -26.6574672336349         106.2586479991889          42164.99859523861         317.090989166265          24.61543836134826         113.5688651725143          42164.99860067293         
01 Jan 2000 12:19:28.000   270.7300783973988         2.504832426907874         109.0025534499235          42164.99402976348         35786.89846371968         228.1752862076584         -26.9617442729229         106.3673331091143          42164.99749380101         317.5125747727594         24.22759053666975         113.6243022733201          42164.99746704461         
01 Jan 2000 12:19:28.000   270.7300783973988         2.504832426907874         109.0025534499235          42164.99402976348         35786.89846371968         228.1752862076584         -26.9617442729229         106.3673331091143          42164.99749380101         317.5125747727594         24.22759053666975         113.6243022733201          42164.99746704461         
01 Jan 2000 12:24:28.000   270.7323472946803         3.129857669161826         108.8372364675065          42164.99067766095         35786.91795382696         228.8549131725423         -27.25286258603591        106.4832253101488          42164.9960821533          317.9110106391887         23.82861773724026         113.6716902484149          42164.99599443052         
01 Jan 2000 12:24:28.000   270.7323472946803         3.129857669161826         108.8372364675065          42164.99067766095         35786.91795382696         228.8549131725423         -27.25286258603591        106.4832253101488          42164.9960821533          317.9110106391887         23.82861773724026         113.6716902484149          42164.99599443052         
01 Jan 2000 12:29:28.000   270.7365327889265         3.753753574042239         108.6732146954943          42164.98658629525         35786.94169525486         229.5731175728557         -27.53058732861028        106.6061263510549          42164.99436420961         318.2874256852657         23.41879335531067         113.7110080084362          42164.99417986524         
01 Jan 2000 12:29:28.000   270.7365327889265         3.753753574042239         108.6732146954943          42164.98658629525         35786.94169525486         229.5731175728557         -27.53058732861028        106.6061263510549          42164.99436420961         318.2874256852657         23.41879335531067         113.7110080084362          42164.99417986524         
01 Jan 2000 12:34:28.000   270.74301623675           4.376292667062866         108.5107459427102          42164.98175887051         35786.96963796545         230.3318737023311         -27.79469087623267        106.7358170857152          42164.99234390861         318.6428906811396         22.99839258814942         113.7422522369367          42164.99202049462         
01 Jan 2000 12:34:28.000   270.74301623675           4.376292667062866         108.5107459427102          42164.98175887051         35786.96963796545         230.3318737023311         -27.79469087623267        106.7358170857152          42164.99234390861         318.6428906811396         22.99839258814942         113.7422522369367          42164.99202049462         
01 Jan 2000 12:39:28.000   270.7521810326567         4.99724668737478          108.3500872255353          42164.97619911544         35787.00172300012         231.1332350324084         -28.0449534436046         106.8720576183866          42164.990025206           318.9784213049115         22.56769200650165         113.7654367699053          42164.98951358466         
01 Jan 2000 12:39:28.000   270.7521810326567         4.99724668737478          108.3500872255353          42164.97619911544         35787.00172300012         231.1332350324084         -28.0449534436046         106.8720576183866          42164.990025206           318.9784213049115         22.56769200650165         113.7654367699053          42164.98951358466         
01 Jan 2000 12:44:28.000   270.764412908421          5.616386462584806         108.1914946163863          42164.96991127914         35787.03788259507         231.9793294117399         -28.28116370444422        107.0145875587243          42164.98741206725         319.2949811799182         22.12696914938179         113.7805919477004          42164.9866565305          
01 Jan 2000 12:44:28.000   270.764412908421          5.616386462584806         108.1914946163863          42164.96991127914         35787.03788259507         231.9793294117399         -28.28116370444422        107.0145875587243          42164.98741206725         319.2949811799182         22.12696914938179         113.7805919477004          42164.9866565305          
01 Jan 2000 12:49:28.000   270.7801002441753         6.233481792667658         108.0352230832565          42164.96290012652         35787.07804081737         232.8723518919615         -28.50311940819389        107.1631263908434          42164.98450846065         319.5934847943012         21.67650214557754         113.7877639458311          42164.98344686533         
01 Jan 2000 12:49:28.000   270.7801002441753         6.233481792667658         108.0352230832565          42164.96290012652         35787.07804081737         232.8723518919615         -28.50311940819389        107.1631263908434          42164.98450846065         319.5934847943012         21.67650214557754         113.7877639458311          42164.98344686533         
01 Jan 2000 12:54:28.000   270.7996343909588         6.848301306409612         107.8815263190502          42164.95517093292         35787.12211180286         233.8145546135029         -28.71062798941206        107.3173739596913          42164.98131835055         319.8748003248054         21.21656936202552         113.7870140906257          42164.97988226936         
01 Jan 2000 12:54:28.000   270.7996343909588         6.848301306409612         107.8815263190502          42164.95517093292         35787.12211180286         233.8145546135029         -28.71062798941206        107.3173739596913          42164.98131835055         319.8748003248054         21.21656936202552         113.7870140906257          42164.97988226936         
01 Jan 2000 12:59:28.000   270.8234099669875         7.460612381974157         107.7306565594518          42164.94672947839         35787.17000264722         234.8082332609981         -28.90350716557703        107.4770110768902          42164.97784569091         320.1397524078245         20.74744907902101         113.7784181653993          42164.97596057874         
01 Jan 2000 12:59:28.000   270.8234099669875         7.460612381974157         107.7306565594518          42164.94672947839         35787.17000264722         234.8082332609981         -28.90350716557703        107.4770110768902          42164.97784569091         320.1397524078245         20.74744907902101         113.7784181653993          42164.97596057874         
01 Jan 2000 13:04:28.000   270.8518251870179         8.070181012567959         107.5828643880769          42164.93758204131         35787.22161186249         235.8557094095984         -29.08158551892361        107.641700246997           42164.97409441911         320.3891247456041         20.2694191920468          113.7620657122908          42164.97167979438         
01 Jan 2000 13:04:28.000   270.8518251870179         8.070181012567959         107.5828643880769          42164.93758204131         35787.22161186249         235.8557094095984         -29.08158551892361        107.641700246997           42164.97409441911         320.3891247456041         20.2694191920468          113.7620657122908          42164.97167979438         
01 Jan 2000 13:09:28.000   270.8852821737622         8.676771705912248         107.4383985276709          42164.92773539147         35787.27682998664         236.959308070895          -29.24470305787735        107.8110865138178          42164.97006845009         320.6236626457769         19.78275693984761         113.7380593344772          42164.9670380908          
01 Jan 2000 13:09:28.000   270.8852821737622         8.676771705912248         107.4383985276709          42164.92773539147         35787.27682998664         236.959308070895          -29.24470305787735        107.8110865138178          42164.97006845009         320.6236626457769         19.78275693984761         113.7380593344772          42164.9670380908          
01 Jan 2000 13:14:28.000   270.9241872671298         9.280147383408313         107.297505616138           42164.91719678264         35787.33553979816         238.1213297737958         -29.39271175364888        107.9847984250365          42164.96577167074         320.8440754252281         19.28773865823961         113.7065140030178          42164.96203382484         
01 Jan 2000 13:14:28.000   270.9241872671298         9.280147383408313         107.297505616138           42164.91719678264         35787.33553979816         238.1213297737958         -29.39271175364888        107.9847984250365          42164.96577167074         320.8440754252281         19.28773865823961         113.7065140030178          42164.96203382484         
01 Jan 2000 13:19:28.000   270.9689513520273         9.880069285269553         107.1604299662071          42164.90597394467         35787.39761654605         239.344016444844          -29.52547604760448        108.1624491119977          42164.9612079347          321.0510387003592         18.78463955902445         113.6675563721215          42164.95666554421         
