COMMSAT1.UTCGregorian      COMMSAT1.Earth.TA         COMMSAT1.Earth.Latitude   COMMSAT1.Earth.Longitude   COMMSAT1.Earth.RMAG       COMMSAT2.Earth.TA         COMMSAT2.Earth.Latitude   COMMSAT2.Earth.Longitude   COMMSAT2.Earth.RMAG       COMMSAT3.Earth.TA         COMMSAT3.Earth.Latitude   COMMSAT3.Earth.Longitude   COMMSAT3.Earth.RMAG       
01 Jan 2000 11:59:28.000   1.207418269725733e-06     -0.002032751563323535     109.6715974597197          42164.99999999998         239.9999999999998         -25.68356680203496        105.9811574433782          42165.00000000001         120                       25.67951005740867         113.3619097702667          42165.00000000001         
01 Jan 2000 12:00:28.000   270.7322590581338         0.1234302141762706        109.6380074595871          42164.99998505323         225.9359134463154         -25.75289594804255        105.9978231660227          42164.99999349885         315.8207136156979         25.60969537927634         113.3782548675583          42164.99999346588         
01 Jan 2000 12:04:22.115   270.7310109672877         0.6129433632451081        109.5069806340054          42164.99964090073         226.2594442375835         -25.95592309941951        106.0491511082518          42164.99989776078         316.1108556096305         25.40282144697453         113.4242454550335          42164.99989921528         
01 Jan 2000 12:04:28.000   270.7309819766051         0.6252463175910151        109.503688663334           42164.99962638906         226.2703137531882         -25.96255307908389        106.0508924786378          42164.99989265508         316.1204272845381         25.39581000954866         113.4257418495777          42164.99989410654         
01 Jan 2000 12:04:28.000   270.7309819766051         0.6252463175910151        109.503688663334           42164.99962638906         226.2703137531882         -25.96255307908389        106.0508924786378          42164.99989265508         316.1204272845381         25.39581000954866         113.4257418495777          42164.99989410654         
01 Jan 2000 12:04:45.490   270.7308967646253         0.6618116419359649        109.4939051304545          42164.99958156251         226.3050829099976         -25.98367988546156        106.0564696275841          42164.9998755318          316.1507601883829         25.37350952664799         113.4304746742605          42164.99987703985         
01 Jan 2000 12:05:44.142   270.7306219551469         0.7844265428450982        109.461103347273           42164.999412711           226.4169011122076         -26.0507975654636         106.074475003383           42164.99981242923         316.2416538069445         25.30593887662784         113.4445703262011          42164.99981779016         
01 Jan 2000 12:08:44.019   270.7299106745017         1.160395702059072         109.3605903834098          42164.9987169356          226.807974392939          -26.27601787768129        106.1381972056235          42164.99950078778         316.509576653067          25.10002474966832         113.4853131456971          42164.99956898321         
01 Jan 2000 12:09:28.000   270.729773382134          1.252300665236522         109.3360387056467          42164.99850600586         226.8940443699369         -26.32368515422712        106.1523610906051          42164.99941438112         316.5776242795244         25.04606131663196         113.4954551038592          42164.9994872169          
01 Jan 2000 12:09:28.000   270.729773382134          1.252300665236522         109.3360387056467          42164.99850600586         226.8940443699369         -26.32368515422712        106.1523610906051          42164.99941438112         316.5776242795244         25.04606131663196         113.4954551038592          42164.9994872169          
01 Jan 2000 12:11:48.294   270.7294535143666         1.545400196531605         109.257799752092           42164.99772607491         227.1618488386572         -26.46785087523992        106.1967076323094          42164.99910756239         316.7855515901188         24.87677928152949         113.5258789099569          42164.99918752538         
01 Jan 2000 12:14:28.000   270.7293465023466         1.878904663211169         109.168907185751           42164.99663992679         227.4884991914582         -26.63559823568676        106.2512868187274          42164.99866086717         317.0219236873866         24.67590856601424         113.5593360466209          42164.99874951717         
