,value
Maximum Bit Rate (mbps),115.385
Data Rate (mbps),86.538
Bandwidth (GHz),0.050
Spectral Efficiency (bits/s/Hz),2.308
C/N Ratio (bits/s/GHz),36.832
Coded C/N Ratio (bits/s/GHz),39.832
Eb/No Ratio (dB),33.200
Coded Eb/No Ratio (dB),36.200
Bit Error Rate (),0.000
Coded Bit Error Rate (),0.000
Roll-Off Factor (),0.300
Coding Rate (mbps),0.750
Coding Gain (dB),3.000
