,value
Maximum Bit Rate (mbps),115.385
Data Rate (mbps),57.692
Bandwidth (GHz),0.050
Spectral Efficiency (bits/s/GHz),2.308
C/N Ratio (bits/s/GHz),36.832
Coded C/N Ratio (bits/s/GHz),40.332
Eb/No Ratio (dB),33.200
Coded Eb/No Ratio (dB),36.700
Bit Error Rate (),0.000
Coded Bit Error Rate (),0.000
Roll-Off Factor (),0.300
Coding Rate (mbps),0.500
Coding Gain (dB),3.500
