,COMMSAT1.UTCGregorian,COMMSAT1.Earth.TA,COMMSAT1.Earth.Latitude,COMMSAT1.Earth.Longitude,COMMSAT1.Earth.RMAG,COMMSAT2.Earth.TA,COMMSAT2.Earth.Latitude,COMMSAT2.Earth.Longitude,COMMSAT2.Earth.RMAG,COMMSAT3.Earth.TA,COMMSAT3.Earth.Latitude,COMMSAT3.Earth.Longitude,COMMSAT3.Earth.RMAG,UTC Gregorian,COMMSAT1.Earth.Gamma.CocosIsland,COMMSAT1.Earth.SlantRange.CocosIsland,COMMSAT1.Earth.Elevation.CocosIsland,COMMSAT1.Earth.Gamma.MawsonResearchStation,COMMSAT1.Earth.SlantRange.MawsonResearchStation,COMMSAT1.Earth.Elevation.MawsonResearchStation,COMMSAT1.Earth.Gamma.NorfolkIsland,COMMSAT1.Earth.SlantRange.NorfolkIsland,COMMSAT1.Earth.Elevation.NorfolkIsland,COMMSAT1.Earth.Gamma.MacquarieResearchStation,COMMSAT1.Earth.SlantRange.MacquarieResearchStation,COMMSAT1.Earth.Elevation.MacquarieResearchStation,COMMSAT2.Earth.Gamma.CocosIsland,COMMSAT2.Earth.SlantRange.CocosIsland,COMMSAT2.Earth.Elevation.CocosIsland,COMMSAT2.Earth.Gamma.MawsonResearchStation,COMMSAT2.Earth.SlantRange.MawsonResearchStation,COMMSAT2.Earth.Elevation.MawsonResearchStation,COMMSAT2.Earth.Gamma.NorfolkIsland,COMMSAT2.Earth.SlantRange.NorfolkIsland,COMMSAT2.Earth.Elevation.NorfolkIsland,COMMSAT2.Earth.Gamma.MacquarieResearchStation,COMMSAT2.Earth.SlantRange.MacquarieResearchStation,COMMSAT2.Earth.Elevation.MacquarieResearchStation,COMMSAT3.Earth.Gamma.CocosIsland,COMMSAT3.Earth.SlantRange.CocosIsland,COMMSAT3.Earth.Elevation.CocosIsland,COMMSAT3.Earth.Gamma.MawsonResearchStation,COMMSAT3.Earth.SlantRange.MawsonResearchStation,COMMSAT3.Earth.Elevation.MawsonResearchStation,COMMSAT3.Earth.Gamma.NorfolkIsland,COMMSAT3.Earth.SlantRange.NorfolkIsland,COMMSAT3.Earth.Elevation.NorfolkIsland,COMMSAT3.Earth.Gamma.MacquarieResearchStation,COMMSAT3.Earth.SlantRange.MacquarieResearchStation,COMMSAT3.Earth.Elevation.MacquarieResearchStation,COMMSAT1.Earth.ReceivePower.CocosIsland,COMMSAT2.Earth.ReceivePower.CocosIsland,COMMSAT3.Earth.ReceivePower.CocosIsland,COMMSAT1.Earth.ReceivePower.MawsonResearchStation,COMMSAT2.Earth.ReceivePower.MawsonResearchStation,COMMSAT3.Earth.ReceivePower.MawsonResearchStation,COMMSAT1.Earth.ReceivePower.NorfolkIsland,COMMSAT2.Earth.ReceivePower.NorfolkIsland,COMMSAT3.Earth.ReceivePower.NorfolkIsland,COMMSAT1.Earth.ReceivePower.MacquarieResearchStation,COMMSAT2.Earth.ReceivePower.MacquarieResearchStation,COMMSAT3.Earth.ReceivePower.MacquarieResearchStation
145,01 Jan 2000 17:49:28.000,295.551358566878,29.99789999964345,109.3202220575423,42163.63287147891,325.7051221030879,-15.55667536441081,113.2770748100556,42164.40477369926,324.4227776906807,-13.33174544734013,106.4436015491491,42164.19257624488,2000-01-01 17:49:28.000,43.847246470412166,37822.74682624869,39.444253335054775,103.58425682934512,44099.664466952716,21.665908490466425,81.28381007717685,41676.691086574465,0.015593201177211224,94.6622783823842,43152.87246992441,13.13359699049493,16.31523892443704,36087.616703534135,70.83884039780766,61.18975357574794,39488.18713924732,20.674011401005284,51.88684134747856,38555.68696654987,30.63451597325552,52.46529077520593,38611.27112993768,30.007792304019567,9.44501916542045,35887.783715863196,78.88372435723365,61.195786265287296,39488.6054019683,20.667591175871323,58.81650958709974,39242.92655055173,23.190825300997506,57.88239366919177,39147.70364281883,24.186010872580997,-95.03374440597264,-94.62584711887183,-94.57761586967351,-96.36738879467191,-95.40802701571401,-95.40811901701508,,-95.2004520033728,-95.3539108423945,,-95.2129650790264,-95.33280893079225
146,01 Jan 2000 17:49:28.000,295.551358566878,29.99789999964345,109.3202220575423,42163.63287147891,325.7051221030879,-15.55667536441081,113.2770748100556,42164.40477369926,324.4227776906807,-13.33174544734013,106.4436015491491,42164.19257624488,2000-01-01 17:49:28.000,43.847246470412166,37822.74682624869,39.444253335054775,103.58425682934512,44099.664466952716,21.665908490466425,81.28381007717685,41676.691086574465,0.015593201177211224,94.6622783823842,43152.87246992441,13.13359699049493,16.31523892443704,36087.616703534135,70.83884039780766,61.18975357574794,39488.18713924732,20.674011401005284,51.88684134747856,38555.68696654987,30.63451597325552,52.46529077520593,38611.27112993768,30.007792304019567,9.44501916542045,35887.783715863196,78.88372435723365,61.195786265287296,39488.6054019683,20.667591175871323,58.81650958709974,39242.92655055173,23.190825300997506,57.88239366919177,39147.70364281883,24.186010872580997,-95.03374440597264,-94.62584711887183,-94.57761586967351,-96.36738879467191,-95.40802701571401,-95.40811901701508,,-95.2004520033728,-95.3539108423945,,-95.2129650790264,-95.33280893079225
147,01 Jan 2000 17:54:28.000,296.6364902641682,30.01857129032754,109.513731673776,42163.60473807272,326.3110043597221,-15.00388393524405,113.189995187576,42164.39000766292,324.5263497536602,-13.90123332902109,106.3392830444208,42164.17283521884,2000-01-01 17:54:28.000,43.9184026289167,37828.83933595661,39.365475743173896,103.65177181103708,44106.619832003504,21.729818766144295,81.17092792263507,41664.097299010085,0.1284912289522859,94.60653497830094,43146.80096478876,13.079727549013159,16.14560674758342,36081.43476031722,71.03681068472373,61.68270140294465,39539.60089693158,20.153307234375852,52.197787273220044,38585.50744925744,30.297496458980625,52.98052442886736,38661.062755687875,29.450376753695462,9.421399241689608,35887.25766545929,78.91146266888629,60.62213831451448,39428.957740854195,21.274420719590886,58.65876917386391,39226.776405354285,23.35869421309509,57.46047400215248,39104.91506922704,24.636351565597653,-95.03514342137314,-94.62435906615192,-94.57748854921044,-96.36875861846235,-95.41932871855109,-95.39498903479996,,-95.20716741494027,-95.35033549100356,,-95.22415885574509,-95.32331003168457
148,01 Jan 2000 17:54:28.000,296.6364902641682,30.01857129032754,109.513731673776,42163.60473807272,326.3110043597221,-15.00388393524405,113.189995187576,42164.39000766292,324.5263497536602,-13.90123332902109,106.3392830444208,42164.17283521884,2000-01-01 17:54:28.000,43.9184026289167,37828.83933595661,39.365475743173896,103.65177181103708,44106.619832003504,21.729818766144295,81.17092792263507,41664.097299010085,0.1284912289522859,94.60653497830094,43146.80096478876,13.079727549013159,16.14560674758342,36081.43476031722,71.03681068472373,61.68270140294465,39539.60089693158,20.153307234375852,52.197787273220044,38585.50744925744,30.297496458980625,52.98052442886736,38661.062755687875,29.450376753695462,9.421399241689608,35887.25766545929,78.91146266888629,60.62213831451448,39428.957740854195,21.274420719590886,58.65876917386391,39226.776405354285,23.35869421309509,57.46047400215248,39104.91506922704,24.636351565597653,-95.03514342137314,-94.62435906615192,-94.57748854921044,-96.36875861846235,-95.41932871855109,-95.39498903479996,,-95.20716741494027,-95.35033549100356,,-95.22415885574509,-95.32331003168457
149,01 Jan 2000 17:59:28.000,297.7437700277758,30.02340883808293,109.7076148629362,42163.57672752719,326.8900283809951,-14.44517991381616,113.0968793883774,42164.375129843,324.6387846757798,-14.46531512137929,106.2405952307605,42164.15308327389,2000-01-01 17:59:28.000,43.97529701360179,37833.710220870744,39.30249655774942,103.70435754943121,44112.02900524023,21.77959138588858,81.0476575576626,41650.34728830488,0.25181840528795846,94.53668902599844,43139.19872523227,13.012217956838743,15.986371601264734,36075.68685455272,71.22268202964761,62.17976893573239,39591.61819419245,19.62897398290754,52.51985436647899,38616.50312679842,29.948719576812184,53.504658153907,38711.99589212514,28.88412623057227,9.43752857528829,35887.58353578608,78.8925194170295,60.05545322157872,39370.27493708753,21.87483444880557,58.50125717022463,39210.669964310066,23.526393071508053,57.04150538468395,39062.57798466447,25.084060196800397,-95.03626175452766,-94.62297526164008,-94.57756742012532,-96.36982377832243,,-95.38205204457618,,-95.2141419754947,-95.34676834857827,,-95.23559435212194,-95.31390112612294
150,01 Jan 2000 17:59:28.000,297.7437700277758,30.02340883808293,109.7076148629362,42163.57672752719,326.8900283809951,-14.44517991381616,113.0968793883774,42164.375129843,324.6387846757798,-14.46531512137929,106.2405952307605,42164.15308327389,2000-01-01 17:59:28.000,43.97529701360179,37833.710220870744,39.30249655774942,103.70435754943121,44112.02900524023,21.77959138588858,81.0476575576626,41650.34728830488,0.25181840528795846,94.53668902599844,43139.19872523227,13.012217956838743,15.986371601264734,36075.68685455272,71.22268202964761,62.17976893573239,39591.61819419245,19.62897398290754,52.51985436647899,38616.50312679842,29.948719576812184,53.504658153907,38711.99589212514,28.88412623057227,9.43752857528829,35887.58353578608,78.8925194170295,60.05545322157872,39370.27493708753,21.87483444880557,58.50125717022463,39210.669964310066,23.526393071508053,57.04150538468395,39062.57798466447,25.084060196800397,-95.03626175452766,-94.62297526164008,-94.57756742012532,-96.36982377832243,,-95.38205204457618,,-95.2141419754947,-95.34676834857827,,-95.23559435212194,-95.31390112612294
151,01 Jan 2000 18:04:28.000,298.8719871520745,30.01240795867471,109.9014101494618,42163.54885347062,327.4437053028323,-13.88082200270494,112.997931797317,42164.360144007,324.7605870561928,-15.02373417200221,106.1477480366068,42164.13333357586,2000-01-01 18:04:28.000,44.01786679137805,37837.35075291019,39.255378600124644,103.74190913076424,44115.882758464584,21.815132005647655,80.9142267897046,41635.46651584935,0.38535700710509113,94.4528830023143,43130.07998110713,12.931199032786898,15.838745886023654,36070.405459637754,71.39503192965329,62.68079885726827,39644.22217394575,19.101194822699863,52.85276907881727,38648.65762272701,29.58851275196796,54.03734208235474,38764.04519370036,28.309459969052973,9.492171832916256,35888.73900092138,78.82834685919084,59.49604527533148,39312.58719985425,22.468464093311265,58.34382818273036,39194.592477529266,23.694076459980366,56.62554951601096,39020.698122981536,25.52905963117576,-95.03709751020851,-94.62170357492839,-94.577847073423,-96.37058256937962,,-95.36931561391646,,-95.2213713765965,-95.34320615712724,,-95.24726491636088,-95.30458379443172
152,01 Jan 2000 18:04:28.000,298.8719871520745,30.01240795867471,109.9014101494618,42163.54885347062,327.4437053028323,-13.88082200270494,112.997931797317,42164.360144007,324.7605870561928,-15.02373417200221,106.1477480366068,42164.13333357586,2000-01-01 18:04:28.000,44.01786679137805,37837.35075291019,39.255378600124644,103.74190913076424,44115.882758464584,21.815132005647655,80.9142267897046,41635.46651584935,0.38535700710509113,94.4528830023143,43130.07998110713,12.931199032786898,15.838745886023654,36070.405459637754,71.39503192965329,62.68079885726827,39644.22217394575,19.101194822699863,52.85276907881727,38648.65762272701,29.58851275196796,54.03734208235474,38764.04519370036,28.309459969052973,9.492171832916256,35888.73900092138,78.82834685919084,59.49604527533148,39312.58719985425,22.468464093311265,58.34382818273036,39194.592477529266,23.694076459980366,56.62554951601096,39020.698122981536,25.52905963117576,-95.03709751020851,-94.62170357492839,-94.577847073423,-96.37058256937962,,-95.36931561391646,,-95.2213713765965,-95.34320615712724,,-95.24726491636088,-95.30458379443172
153,01 Jan 2000 18:09:28.000,300.0198093106069,29.9855790959814,110.0946563967441,42163.5211292871,327.9734736326353,-13.31106675806101,112.8933625882492,42164.34505406689,324.8922716274755,-15.57623168087893,106.0609455837932,42164.1135993768,2000-01-01 18:09:28.000,44.046059472712045,37839.75392499607,39.224174906426015,103.76433442051993,44118.172739155925,21.836356989051424,80.77087226634065,41619.48146268333,0.5288809958369238,94.35527060877872,43119.45996651562,12.836811168696528,15.703945737833129,36065.62242559186,71.5524331929143,63.18563653524577,39697.39586161923,18.570149222602065,53.19624271454752,38681.95282248487,29.217219811005076,54.578224407631126,38817.18405580738,27.7267977679177,9.583591066988568,35890.70036238438,78.7209909437719,58.94422924964917,39255.923851235566,23.054939100256348,58.18634078566506,39178.52967435062,23.86189500185324,56.2126700218155,38979.2812253593,25.971270411460672,-95.03764916153331,-94.62055172592487,-94.578321754456,-96.37103342748539,,-95.35678714236033,,-95.22885091016748,-95.3396457595366,,-95.25916362867565,-95.29535962184313
154,01 Jan 2000 18:09:28.000,300.0198093106069,29.9855790959814,110.0946563967441,42163.5211292871,327.9734736326353,-13.31106675806101,112.8933625882492,42164.34505406689,324.8922716274755,-15.57623168087893,106.0609455837932,42164.1135993768,2000-01-01 18:09:28.000,44.046059472712045,37839.75392499607,39.224174906426015,103.76433442051993,44118.172739155925,21.836356989051424,80.77087226634065,41619.48146268333,0.5288809958369238,94.35527060877872,43119.45996651562,12.836811168696528,15.703945737833129,36065.62242559186,71.5524331929143,63.18563653524577,39697.39586161923,18.570149222602065,53.19624271454752,38681.95282248487,29.217219811005076,54.578224407631126,38817.18405580738,27.7267977679177,9.583591066988568,35890.70036238438,78.7209909437719,58.94422924964917,39255.923851235566,23.054939100256348,58.18634078566506,39178.52967435062,23.86189500185324,56.2126700218155,38979.2812253593,25.971270411460672,-95.03764916153331,-94.62055172592487,-94.578321754456,-96.37103342748539,,-95.35678714236033,,-95.22885091016748,-95.3396457595366,,-95.25916362867565,-95.29535962184313
